# RadiaCode Energy Calibration Export
# Device: fbc3fad9-3dc5-4e30-8e11-629b07b15146
# Export Time: 2026-01-25 18:39:19
#
# Calibration Coefficients (Energy = a0 + a1*channel + a2*channel^2):
# a0 (offset) = 3.5093544 keV
# a1 (linear) = 2.3624456 keV/channel
# a2 (quadratic) = 4.0645464E-4 keV/channel^2
#
Channel,Energy_keV
0,3.5094
1,5.8722
2,8.2359
3,10.6003
4,12.9656
5,15.3317
6,17.6987
7,20.0664
8,22.4349
9,24.8043
10,27.1745
11,29.5454
12,31.9172
13,34.2898
14,36.6633
15,39.0375
16,41.4125
17,43.7884
18,46.1651
19,48.5425
20,50.9208
21,53.3000
22,55.6799
23,58.0606
24,60.4422
25,62.8245
26,65.2077
27,67.5917
28,69.9765
29,72.3621
30,74.7485
31,77.1358
32,79.5238
33,81.9127
34,84.3024
35,86.6929
36,89.0842
37,91.4763
38,93.8692
39,96.2629
40,98.6575
41,101.0529
42,103.4491
43,105.8460
44,108.2439
45,110.6425
46,113.0419
47,115.4422
48,117.8432
49,120.2451
50,122.6478
51,125.0513
52,127.4556
53,129.8607
54,132.2666
55,134.6734
56,137.0809
57,139.4893
58,141.8985
59,144.3085
60,146.7193
61,149.1310
62,151.5434
63,153.9566
64,156.3707
65,158.7856
66,161.2013
67,163.6178
68,166.0351
69,168.4532
70,170.8722
71,173.2919
72,175.7125
73,178.1339
74,180.5561
75,182.9791
76,185.4029
77,187.8275
78,190.2530
79,192.6792
80,195.1063
81,197.5342
82,199.9629
83,202.3924
84,204.8227
85,207.2539
86,209.6858
87,212.1186
88,214.5522
89,216.9865
90,219.4217
91,221.8577
92,224.2946
93,226.7322
94,229.1707
95,231.6099
96,234.0500
97,236.4909
98,238.9326
99,241.3751
100,243.8185
101,246.2626
102,248.7076
103,251.1533
104,253.5999
105,256.0473
106,258.4955
107,260.9445
108,263.3943
109,265.8450
110,268.2965
111,270.7488
112,273.2018
113,275.6558
114,278.1104
115,280.5660
116,283.0223
117,285.4795
118,287.9374
119,290.3962
120,292.8558
121,295.3162
122,297.7774
123,300.2394
124,302.7023
125,305.1659
126,307.6304
127,310.0956
128,312.5618
129,315.0287
130,317.4964
131,319.9649
132,322.4342
133,324.9044
134,327.3754
135,329.8471
136,332.3198
137,334.7932
138,337.2674
139,339.7424
140,342.2183
141,344.6949
142,347.1724
143,349.6507
144,352.1298
145,354.6097
146,357.0904
147,359.5720
148,362.0543
149,364.5375
150,367.0215
151,369.5062
152,371.9918
153,374.4782
154,376.9655
155,379.4535
156,381.9424
157,384.4320
158,386.9225
159,389.4138
160,391.9059
161,394.3988
162,396.8925
163,399.3871
164,401.8824
165,404.3786
166,406.8756
167,409.3734
168,411.8720
169,414.3714
170,416.8717
171,419.3727
172,421.8746
173,424.3773
174,426.8807
175,429.3850
176,431.8901
177,434.3961
178,436.9028
179,439.4103
180,441.9187
181,444.4279
182,446.9379
183,449.4487
184,451.9603
185,454.4727
186,456.9860
187,459.5000
188,462.0149
189,464.5305
190,467.0470
191,469.5644
192,472.0825
193,474.6014
194,477.1212
195,479.6417
196,482.1631
197,484.6853
198,487.2083
199,489.7321
200,492.2567
201,494.7821
202,497.3083
203,499.8354
204,502.3633
205,504.8920
206,507.4215
207,509.9518
208,512.4829
209,515.0148
210,517.5476
211,520.0812
212,522.6155
213,525.1507
214,527.6867
215,530.2236
216,532.7612
217,535.2996
218,537.8388
219,540.3789
220,542.9198
221,545.4614
222,548.0040
223,550.5473
224,553.0914
225,555.6364
226,558.1821
227,560.7287
228,563.2761
229,565.8243
230,568.3733
231,570.9231
232,573.4738
233,576.0252
234,578.5775
235,581.1306
236,583.6844
237,586.2391
238,588.7946
239,591.3510
240,593.9081
241,596.4660
242,599.0248
243,601.5844
244,604.1447
245,606.7060
246,609.2679
247,611.8307
248,614.3945
249,616.9589
250,619.5242
251,622.0902
252,624.6572
253,627.2249
254,629.7933
255,632.3627
256,634.9328
257,637.5038
258,640.0756
259,642.6481
260,645.2215
261,647.7958
262,650.3708
263,652.9466
264,655.5232
265,658.1007
266,660.6790
267,663.2581
268,665.8380
269,668.4186
270,671.0002
271,673.5826
272,676.1657
273,678.7496
274,681.3345
275,683.9200
276,686.5064
277,689.0936
278,691.6816
279,694.2705
280,696.8601
281,699.4506
282,702.0419
283,704.6340
284,707.2269
285,709.8206
286,712.4151
287,715.0105
288,717.6066
289,720.2036
290,722.8014
291,725.4000
292,727.9994
293,730.5996
294,733.2007
295,735.8025
296,738.4052
297,741.0087
298,743.6129
299,746.2180
300,748.8240
301,751.4307
302,754.0382
303,756.6466
304,759.2557
305,761.8657
306,764.4764
307,767.0881
308,769.7005
309,772.3137
310,774.9278
311,777.5426
312,780.1583
313,782.7748
314,785.3921
315,788.0101
316,790.6291
317,793.2488
318,795.8693
319,798.4907
320,801.1129
321,803.7358
322,806.3596
323,808.9843
324,811.6097
325,814.2359
326,816.8630
327,819.4908
328,822.1195
329,824.7490
330,827.3793
331,830.0104
332,832.6423
333,835.2751
334,837.9086
335,840.5430
336,843.1782
337,845.8141
338,848.4509
339,851.0886
340,853.7270
341,856.3662
342,859.0063
343,861.6472
344,864.2888
345,866.9313
346,869.5746
347,872.2188
348,874.8636
349,877.5095
350,880.1560
351,882.8033
352,885.4515
353,888.1005
354,890.7503
355,893.4010
356,896.0524
357,898.7047
358,901.3577
359,904.0116
360,906.6663
361,909.3218
362,911.9781
363,914.6352
364,917.2932
365,919.9519
366,922.6115
367,925.2719
368,927.9330
369,930.5950
370,933.2578
371,935.9214
372,938.5859
373,941.2512
374,943.9172
375,946.5841
376,949.2518
377,951.9203
378,954.5897
379,957.2598
380,959.9307
381,962.6025
382,965.2750
383,967.9484
384,970.6226
385,973.2977
386,975.9734
387,978.6501
388,981.3276
389,984.0058
390,986.6849
391,989.3647
392,992.0455
393,994.7269
394,997.4093
395,1000.0924
396,1002.7764
397,1005.4612
398,1008.1467
399,1010.8331
400,1013.5203
401,1016.2084
402,1018.8972
403,1021.5868
404,1024.2772
405,1026.9685
406,1029.6606
407,1032.3535
408,1035.0472
409,1037.7417
410,1040.4371
411,1043.1332
412,1045.8302
413,1048.5280
414,1051.2266
415,1053.9259
416,1056.6261
417,1059.3271
418,1062.0289
419,1064.7316
420,1067.4351
421,1070.1394
422,1072.8445
423,1075.5504
424,1078.2571
425,1080.9646
426,1083.6729
427,1086.3821
428,1089.0920
429,1091.8027
430,1094.5144
431,1097.2268
432,1099.9399
433,1102.6542
434,1105.3690
435,1108.0846
436,1110.8010
437,1113.5183
438,1116.2365
439,1118.9554
440,1121.6750
441,1124.3956
442,1127.1169
443,1129.8391
444,1132.5621
445,1135.2859
446,1138.0105
447,1140.7358
448,1143.4620
449,1146.1891
450,1148.9169
451,1151.6458
452,1154.3751
453,1157.1055
454,1159.8365
455,1162.5684
456,1165.3011
457,1168.0348
458,1170.7690
459,1173.5042
460,1176.2402
461,1178.9769
462,1181.7146
463,1184.4529
464,1187.1923
465,1189.9323
466,1192.6731
467,1195.4148
468,1198.1572
469,1200.9005
470,1203.6448
471,1206.3896
472,1209.1354
473,1211.8818
474,1214.6292
475,1217.3773
476,1220.1263
477,1222.8762
478,1225.6268
479,1228.3782
480,1231.1304
481,1233.8834
482,1236.6373
483,1239.3921
484,1242.1476
485,1244.9038
486,1247.6609
487,1250.4188
488,1253.1775
489,1255.9371
490,1258.6975
491,1261.4587
492,1264.2207
493,1266.9835
494,1269.7471
495,1272.5115
496,1275.2769
497,1278.0428
498,1280.8097
499,1283.5774
500,1286.3458
501,1289.1151
502,1291.8853
503,1294.6563
504,1297.4280
505,1300.2006
506,1302.9739
507,1305.7480
508,1308.5231
509,1311.2990
510,1314.0756
511,1316.8529
512,1319.6312
513,1322.4103
